 schemaname |            tablename             |               indexname                |                                                                              indexdef                                                                              
------------+----------------------------------+----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | mdl_adminpresets                 | mdl_admi_id_pk                         | CREATE UNIQUE INDEX mdl_admi_id_pk ON public.mdl_adminpresets USING btree (id)
 public     | mdl_adminpresets_app             | mdl_admiapp_adm_ix                     | CREATE INDEX mdl_admiapp_adm_ix ON public.mdl_adminpresets_app USING btree (adminpresetid)
 public     | mdl_adminpresets_app             | mdl_admiapp_id_pk                      | CREATE UNIQUE INDEX mdl_admiapp_id_pk ON public.mdl_adminpresets_app USING btree (id)
 public     | mdl_adminpresets_app_it          | mdl_admiappit_adm_ix                   | CREATE INDEX mdl_admiappit_adm_ix ON public.mdl_adminpresets_app_it USING btree (adminpresetapplyid)
 public     | mdl_adminpresets_app_it          | mdl_admiappit_con_ix                   | CREATE INDEX mdl_admiappit_con_ix ON public.mdl_adminpresets_app_it USING btree (configlogid)
 public     | mdl_adminpresets_app_it          | mdl_admiappit_id_pk                    | CREATE UNIQUE INDEX mdl_admiappit_id_pk ON public.mdl_adminpresets_app_it USING btree (id)
 public     | mdl_adminpresets_app_it_a        | mdl_admiappita_adm_ix                  | CREATE INDEX mdl_admiappita_adm_ix ON public.mdl_adminpresets_app_it_a USING btree (adminpresetapplyid)
 public     | mdl_adminpresets_app_it_a        | mdl_admiappita_con_ix                  | CREATE INDEX mdl_admiappita_con_ix ON public.mdl_adminpresets_app_it_a USING btree (configlogid)
 public     | mdl_adminpresets_app_it_a        | mdl_admiappita_id_pk                   | CREATE UNIQUE INDEX mdl_admiappita_id_pk ON public.mdl_adminpresets_app_it_a USING btree (id)
 public     | mdl_adminpresets_app_plug        | mdl_admiappplug_adm_ix                 | CREATE INDEX mdl_admiappplug_adm_ix ON public.mdl_adminpresets_app_plug USING btree (adminpresetapplyid)
 public     | mdl_adminpresets_app_plug        | mdl_admiappplug_id_pk                  | CREATE UNIQUE INDEX mdl_admiappplug_id_pk ON public.mdl_adminpresets_app_plug USING btree (id)
 public     | mdl_adminpresets_it              | mdl_admiit_adm_ix                      | CREATE INDEX mdl_admiit_adm_ix ON public.mdl_adminpresets_it USING btree (adminpresetid)
 public     | mdl_adminpresets_it              | mdl_admiit_id_pk                       | CREATE UNIQUE INDEX mdl_admiit_id_pk ON public.mdl_adminpresets_it USING btree (id)
 public     | mdl_adminpresets_it_a            | mdl_admiita_id_pk                      | CREATE UNIQUE INDEX mdl_admiita_id_pk ON public.mdl_adminpresets_it_a USING btree (id)
 public     | mdl_adminpresets_it_a            | mdl_admiita_ite_ix                     | CREATE INDEX mdl_admiita_ite_ix ON public.mdl_adminpresets_it_a USING btree (itemid)
